NOM_SC;NOM_FR;COMMUNE;CODE_INSEE;DATE_OBS
Sturnus vulgaris Linnaeus, 1758;Étourneau sansonnet;ANTONY;92002;2000-01-01
Tringa erythropus (Pallas, 1764);Chevalier arlequin;SCEAUX;92071;2000-01-01
Acrocephalus palustris (Bechstein, 1798);Rousserolle verderolle;ANTONY;92002;2001-01-01
Acrocephalus schoenobaenus (Linnaeus, 1758);Phragmite des joncs;ANTONY;92002;2001-01-01
Acrocephalus scirpaceus (Hermann, 1804);Rousserolle effarvatte;ANTONY;92002;2001-01-01
Anas acuta Linnaeus, 1758;Canard pilet;ANTONY;92002;2001-01-01
Arvicola sapidus Miller, 1908;Campagnol amphibie;ANTONY;92002;2001-01-01
Bitoma crenata (Fabricius, 1775);;CHATENAY MALABRY;92019;2001-01-01
Botaurus stellaris (Linnaeus, 1758);Butor étoilé;ANTONY;92002;2001-01-01
Buteo buteo (Linnaeus, 1758);Buse variable;ANTONY;92002;2001-01-01
Camptogramma bilineata (Linnaeus, 1758);;CHATENAY MALABRY;92019;2001-01-01
Columba oenas Linnaeus, 1758;Pigeon colombin;ANTONY;92002;2001-01-01
Columba palumbus Linnaeus, 1758;Pigeon ramier;ANTONY;92002;2001-01-01
Coreus marginatus (Linnaeus, 1758);;CHATENAY MALABRY;92019;2001-01-01
Cryptarcha strigata (Fabricius, 1787);;CHATENAY MALABRY;92019;2001-01-01
Dichochrysa prasina (Burmeister, 1839);;CHATENAY MALABRY;92019;2001-01-01
Erithacus rubecula (Linnaeus, 1758);Rougegorge familier;ANTONY;92002;2001-01-01
Falco peregrinus Tunstall, 1771;Faucon pèlerin;ANTONY;92002;2001-01-01
Fringilla coelebs Linnaeus, 1758;Pinson des arbres;ANTONY;92002;2001-01-01
Gallinula chloropus (Linnaeus, 1758);Poule-d'eau, Gallinule poule-d'eau;ANTONY;92002;2001-01-01
Leptophyes punctatissima (Bosc, 1792);Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué;CHATENAY MALABRY;92019;2001-01-01
Liocoris tripustulatus (Fabricius, 1781);;CHATENAY MALABRY;92019;2001-01-01
Locustella luscinioides (Savi, 1824);Locustelle luscinioïde;ANTONY;92002;2001-01-01
Panurus biarmicus (Linnaeus, 1758);Panure à moustaches, Mésange à moustaches;ANTONY;92002;2001-01-01
Pararge aegeria (Linnaeus, 1758);Tircis (Le), Argus des Bois (L'), Égérie (L');CHATENAY MALABRY;92019;2001-01-01
Pieris brassicae (Linnaeus, 1758);Piéride du Chou (La), Grande Piéride du Chou (La), Papillon du Chou (Le);CHATENAY MALABRY;92019;2001-01-01
Pleuroptya ruralis (Scopoli, 1763);;CHATENAY MALABRY;92019;2001-01-01
Pluvialis apricaria (Linnaeus, 1758);Pluvier doré;ANTONY;92002;2001-01-01
Podiceps cristatus (Linnaeus, 1758);Grèbe huppé;ANTONY;92002;2001-01-01
Porzana porzana (Linnaeus, 1766);Marouette ponctuée;ANTONY;92002;2001-01-01
Pyrrhocoris apterus (Linnaeus, 1758);;CHATENAY MALABRY;92019;2001-01-01
Remiz pendulinus (Linnaeus, 1758);Rémiz penduline, Mésange rémiz;ANTONY;92002;2001-01-01
Sterna hirundo Linnaeus, 1758;Sterne pierregarin;ANTONY;92002;2001-01-01
Sylvia curruca (Linnaeus, 1758);Fauvette babillarde;ANTONY;92002;2001-01-01
Troglodytes troglodytes (Linnaeus, 1758);Troglodyte mignon;ANTONY;92002;2001-01-01
